"Horodateur","Précisez le coût du trajet en FCFA","Rappelez-vous d'un trajet que vous avez eu à faire dans la ville de Yaoundé via un taxi 🚕 🚖.

Indiquez le lieu de départ du trajet:","Indiquez la destination :","Précisez la tranche horaire de l'heure de départ:"
"2024/12/01 5:40:22 PM UTC+1","","Polytechnique ","Jouvence ","15h30 - 18h59"
"2024/12/01 5:41:03 PM UTC+1","","Mvan","Melen","05h00 - 06h59"
"2024/12/01 5:44:32 PM UTC+1","500","Mvan","Melen","07h00 - 08h59"
"2024/12/01 5:45:00 PM UTC+1","400","Melen","Mvan","09h00 - 13h59"
"2024/12/01 5:46:24 PM UTC+1","500","Carrefour Scalom","Carrefour nkoabang","09h00 - 13h59"
"2024/12/01 5:51:29 PM UTC+1","500fcfa","Melen","Nkoabang ","15h30 - 18h59"
"2024/12/01 6:02:13 PM UTC+1","350","Mendong","CHU","07h00 - 08h59"
"2024/12/01 6:11:28 PM UTC+1","400","Jouvence ","Melen","07h00 - 08h59"
"2024/12/01 6:14:35 PM UTC+1","600 ","Simbock ","Melen ","07h00 - 08h59"
"2024/12/01 6:15:03 PM UTC+1","350","Cite u","Simbock ","14h00 - 15h29"
"2024/12/01 6:15:44 PM UTC+1","400","Simbock ","Cite u ","21h01 - 23h59"
"2024/12/01 6:16:17 PM UTC+1","400","Cite u","Simbock ","19h00 - 21h00"
"2024/12/01 6:16:50 PM UTC+1","200","Cite u ","Polytechnique ","07h00 - 08h59"
"2024/12/01 6:17:18 PM UTC+1","400","Cité u ","Omnisport ","19h00 - 21h00"
"2024/12/01 6:17:59 PM UTC+1","350","Omnisport ","Cité u","21h01 - 23h59"
"2024/12/01 6:39:11 PM UTC+1","150","chez moi","l'ecole","07h00 - 08h59"
"2024/12/01 6:47:27 PM UTC+1","400","Melen","Hôpital General","14h00 - 15h29"
"2024/12/01 6:49:06 PM UTC+1","500","Melen","Hôpital General ","15h30 - 18h59"
"2024/12/01 6:50:36 PM UTC+1","300","Melen","Ekounou","14h00 - 15h29"
"2024/12/01 6:51:08 PM UTC+1","400","Ekounou ","Melen","19h00 - 21h00"
"2024/12/01 6:51:41 PM UTC+1","300","Ekounou","Melen ","09h00 - 13h59"
"2024/12/01 6:52:28 PM UTC+1","150","Melen","Poste centrale ","14h00 - 15h29"
"2024/12/01 6:52:51 PM UTC+1","300","Melen","Warda","09h00 - 13h59"
"2024/12/01 6:53:44 PM UTC+1","150","Entrée complexe beac","Carrefour Mbog Abang","09h00 - 13h59"
"2024/12/01 6:54:08 PM UTC+1","500","Melen","Ekounou ","19h00 - 21h00"
"2024/12/01 6:55:25 PM UTC+1","200","Mvog Betsi","Polytechnique Yaoundé ","07h00 - 08h59"
"2024/12/01 6:56:22 PM UTC+1","500","Polytechnique ","Odza","19h00 - 21h00"
"2024/12/01 6:57:52 PM UTC+1","300","Polytechnique Yaoundé ","Mvog Betsi ","07h00 - 08h59"
"2024/12/01 6:59:25 PM UTC+1","100","Melen","Carrefour MEEC","07h00 - 08h59"
"2024/12/01 7:00:16 PM UTC+1","100","Carrefour MEEC","Melen","07h00 - 08h59"
"2024/12/01 7:01:34 PM UTC+1","300","Melen","Poste Centrale ","19h00 - 21h00"
"2024/12/01 7:08:03 PM UTC+1","300","NGOA EKELLE ","Polytechnique Yaoundé ","07h00 - 08h59"
"2024/12/01 7:13:00 PM UTC+1","D’accord ","EMIA","Nkometou ","15h30 - 18h59"
"2024/12/01 9:34:22 PM UTC+1","500","Emia","Nkozoa","09h00 - 13h59"
"2024/12/01 9:50:56 PM UTC+1","600","Simbock ","Melen","05h00 - 06h59"
"2024/12/02 7:06:35 AM UTC+1","350","Mobile Essos","Polytech ","05h00 - 06h59"
"2024/12/02 7:07:49 AM UTC+1","350","Polytech ","Mobile Essos","19h00 - 21h00"
"2024/12/02 10:05:31 AM UTC+1","350","Entrée Simbock ","École Nationale Supérieure Polytechnique de Yaoundé ","07h00 - 08h59"
"2024/12/03 9:51:03 AM UTC+1","500","Tradex Emana","Polytech Yaoundé ","05h00 - 06h59"
"2024/12/03 10:02:03 AM UTC+1","350","CHU","Nkoabang","14h00 - 15h29"
"2024/12/03 10:22:04 AM UTC+1","1200","poste","odza","14h00 - 15h29"
"2024/12/03 12:34:31 PM UTC+1","500","Cradat","Carrefour Essomba","15h30 - 18h59"
"2024/12/03 8:01:14 PM UTC+1","700","Fougerol","Pharmacie Emia","05h00 - 06h59"